procs,avg_total_time,std_total_time,avg_rank_compute_time,avg_max_rank_time,avg_min_rank_time,avg_load_imbalance,num_runs_parsed,serial_avg_time,speedup_total,speedup_perproc
1,1.7348258909999998,0.00047928152196954866,0.36848527919999996,0.36848527919999996,0.36848527919999996,0.0,5,0.37604839999999995,0.21676434618072,1.020524892653568
1,1.7348258909999998,0.00047928152196954866,0.36848527919999996,0.36848527919999996,0.36848527919999996,0.0,5,0.37604839999999995,0.21676434618072,1.020524892653568
1,1.7348258909999998,0.00047928152196954866,0.36848527919999996,0.36848527919999996,0.36848527919999996,0.0,5,0.37604839999999995,0.21676434618072,1.020524892653568
8,2.681470766875,0.0014140722252671402,0.07975298092500001,0.0797557198,0.07974973140000001,7.512018650717671e-05,5,0.37604839999999995,0.14023960456531426,4.715164193720072
8,2.681470766875,0.0014140722252671402,0.07975298092500001,0.0797557198,0.07974973140000001,7.512018650717671e-05,5,0.37604839999999995,0.14023960456531426,4.715164193720072
8,2.681470766875,0.0014140722252671402,0.07975298092500001,0.0797557198,0.07974973140000001,7.512018650717671e-05,5,0.37604839999999995,0.14023960456531426,4.715164193720072
16,2.7679088918878,0.005546970384717667,0.062368298850000004,0.0623711518,0.062364576000000005,0.00010559317604344606,5,0.37604839999999995,0.13586010764376108,6.029479830841978
16,2.7679088918878,0.005546970384717667,0.062368298850000004,0.0623711518,0.062364576000000005,0.00010559317604344606,5,0.37604839999999995,0.13586010764376108,6.029479830841978
16,2.7679088918878,0.005546970384717667,0.062368298850000004,0.0623711518,0.062364576000000005,0.00010559317604344606,5,0.37604839999999995,0.13586010764376108,6.029479830841978
32,3.5076548899376,0.004565848264591351,0.06004960836249999,0.06005967399999999,0.0600405736,0.0003182995229752448,5,0.37604839999999995,0.10720792432538588,6.262295629472183
32,3.5076548899376,0.004565848264591351,0.06004960836249999,0.06005967399999999,0.0600405736,0.0003182995229752448,5,0.37604839999999995,0.10720792432538588,6.262295629472183
32,3.5076548899376,0.004565848264591351,0.06004960836249999,0.06005967399999999,0.0600405736,0.0003182995229752448,5,0.37604839999999995,0.10720792432538588,6.262295629472183
64,4.3764982158376,0.08039016657119238,0.06532531215937501,0.06533940120000001,0.06530900419999999,0.00046578536561139503,5,0.37604839999999995,0.08592449521381322,5.756549606415195
64,4.3764982158376,0.08039016657119238,0.06532531215937501,0.06533940120000001,0.06530900419999999,0.00046578536561139503,5,0.37604839999999995,0.08592449521381322,5.756549606415195
64,4.3764982158376,0.08039016657119238,0.06532531215937501,0.06533940120000001,0.06530900419999999,0.00046578536561139503,5,0.37604839999999995,0.08592449521381322,5.756549606415195
128,8.882541710511001,1.207136624676921,0.062048000274999994,0.08604137699999999,0.023347375999999996,3.080484771650588,5,0.37604839999999995,0.042335675109187454,6.060604666279875
128,8.882541710511001,1.207136624676921,0.062048000274999994,0.08604137699999999,0.023347375999999996,3.080484771650588,5,0.37604839999999995,0.042335675109187454,6.060604666279875
128,8.882541710511001,1.207136624676921,0.062048000274999994,0.08604137699999999,0.023347375999999996,3.080484771650588,5,0.37604839999999995,0.042335675109187454,6.060604666279875
