x,y
0.19270088,-0.30320998
0.19231591,-0.30320998
0.19193094,-0.30320998
0.19154597,-0.30320998
0.19116100,-0.30320998
0.19077603,-0.30320998
0.19039107,-0.30320998
0.19000610,-0.30320998
0.18962113,-0.30320998
0.18923616,-0.30320998
0.18885119,-0.30320998
0.18846622,-0.30320998
0.18808125,-0.30320998
0.18769628,-0.30320998
0.18731131,-0.30320998
0.18692635,-0.30320998
0.18654138,-0.30320998
0.18615641,-0.30320998
0.18577144,-0.30320998
0.18538647,-0.30320998
0.18500150,-0.30320998
0.18461653,-0.30320998
0.18423156,-0.30320998
0.18384659,-0.30320998
0.18346163,-0.30320998
0.18307666,-0.30320998
0.18269169,-0.30320998
0.18230672,-0.30320998
0.18192175,-0.30320998
0.18153678,-0.30320998
0.18115181,-0.30320998
0.18076684,-0.30320998
0.18038187,-0.30320998
0.17999691,-0.30320998
0.17961194,-0.30320998
0.17922697,-0.30320998
0.17884200,-0.30320998
0.17845703,-0.30320998
0.17807206,-0.30320998
0.17768709,-0.30320998
0.17730212,-0.30320998
0.17691715,-0.30320998
0.17653219,-0.30320998
0.17614722,-0.30320998
0.17576225,-0.30320998
0.17537728,-0.30320998
0.17499231,-0.30320998
0.17460734,-0.30320998
0.17422237,-0.30320998
0.17383740,-0.30320998
0.17345243,-0.30320998
0.17306747,-0.30320998
0.17268250,-0.30320998
0.17229753,-0.30320998
0.17191256,-0.30320998
0.17152759,-0.30320998
0.17114262,-0.30320998
0.17075765,-0.30320998
0.17037268,-0.30320998
0.16998771,-0.30320998
0.16960275,-0.30320998
0.16921778,-0.30320998
0.16883281,-0.30320998
0.16844784,-0.30320998
0.16806287,-0.30320998
0.16767790,-0.30320998
0.16729293,-0.30320998
0.16690796,-0.30320998
0.16652299,-0.30320998
0.16613803,-0.30320998
0.16575306,-0.30320998
0.16536809,-0.30320998
0.16498312,-0.30320998
0.16459815,-0.30320998
0.16421318,-0.30320998
0.16382821,-0.30320998
0.16344324,-0.30320998
0.16305827,-0.30320998
0.16267331,-0.30320998
0.16228834,-0.30320998
0.16190337,-0.30320998
0.16151840,-0.30320998
0.16113343,-0.30320998
0.16074846,-0.30320998
0.16036349,-0.30320998
0.15997852,-0.30320998
0.15959355,-0.30320998
0.15920858,-0.30320998
0.15882362,-0.30320998
0.15843865,-0.30320998
0.15805368,-0.30320998
0.15766871,-0.30320998
0.15728374,-0.30320998
0.15689877,-0.30320998
0.15651380,-0.30320998
0.15612883,-0.30320998
0.15574386,-0.30320998
0.15535890,-0.30320998
0.15497393,-0.30320998
0.15458896,-0.30320998
0.15420399,-0.30320998
0.15381902,-0.30320998
0.15343405,-0.30320998
0.15304908,-0.30320998
0.15266411,-0.30320998
0.15227914,-0.30320998
0.15189418,-0.30320998
0.15150921,-0.30320998
0.15112424,-0.30320998
0.15073927,-0.30320998
0.15035430,-0.30320998
0.14996933,-0.30320998
0.14958436,-0.30320998
0.14919939,-0.30320998
0.14881442,-0.30320998
0.14842946,-0.30320998
0.14804449,-0.30320998
0.14765952,-0.30320998
0.14727455,-0.30320998
0.14688958,-0.30320998
0.14650461,-0.30320998
0.14611964,-0.30320998
0.14573467,-0.30320998
0.14534970,-0.30320998
0.14496474,-0.30320998
0.14457977,-0.30320998
0.14419480,-0.30320998
0.14380983,-0.30320998
0.14342486,-0.30320998
0.14303989,-0.30320998
0.14265492,-0.30320998
0.14226995,-0.30320998
0.14188498,-0.30320998
0.14150002,-0.30320998
0.14111505,-0.30320998
0.14073008,-0.30320998
0.14034511,-0.30320998
0.13996014,-0.30320998
0.13957517,-0.30320998
0.13919020,-0.30320998
0.13880523,-0.30320998
0.13842026,-0.30320998
0.13803530,-0.30320998
0.13765033,-0.30320998
0.13726536,-0.30320998
0.13688039,-0.30320998
0.13649542,-0.30320998
0.13611045,-0.30320998
0.13572548,-0.30320998
0.13534051,-0.30320998
0.13495554,-0.30320998
0.13457058,-0.30320998
0.13418561,-0.30320998
0.13380064,-0.30320998
0.13341567,-0.30320998
0.13303070,-0.30320998
0.13264573,-0.30320998
0.13226076,-0.30320998
0.13187579,-0.30320998
0.13149082,-0.30320998
0.13110586,-0.30320998
0.13072089,-0.30320998
0.13033592,-0.30320998
0.12995095,-0.30320998
0.12956598,-0.30320998
0.12918101,-0.30320998
0.12879604,-0.30320998
0.12841107,-0.30320998
0.12802610,-0.30320998
0.12764114,-0.30320998
0.12725617,-0.30320998
0.12687120,-0.30320998
0.12648623,-0.30320998
0.12610126,-0.30320998
0.12571629,-0.30320998
0.12533132,-0.30320998
0.12494635,-0.30320998
0.12456138,-0.30320998
0.12417642,-0.30320998
0.12379145,-0.30320998
0.12340648,-0.30320998
0.12302151,-0.30320998
0.12263654,-0.30320998
0.12225157,-0.30320998
0.12186660,-0.30320998
0.12148163,-0.30320998
0.12109666,-0.30320998
0.12071170,-0.30320998
0.12032673,-0.30320998
0.11994176,-0.30320998
0.11955679,-0.30320998
0.11917182,-0.30320998
0.11878685,-0.30320998
0.11840188,-0.30320998
0.11801691,-0.30320998
0.11763194,-0.30320998
0.11724698,-0.30320998
0.11686201,-0.30320998
0.11647704,-0.30320998
0.11609207,-0.30320998
0.11570710,-0.30320998
0.11532213,-0.30320998
0.11493716,-0.30320998
0.11455219,-0.30320998
0.11416722,-0.30320998
0.11378225,-0.30320998
0.11339729,-0.30320998
0.11301232,-0.30320998
0.11262735,-0.30320998
0.11224238,-0.30320998
0.11185741,-0.30320998
0.11147244,-0.30320998
0.11108747,-0.30320998
0.11070250,-0.30320998
0.11031753,-0.30320998
0.10993257,-0.30320998
0.10954760,-0.30320998
0.10916263,-0.30320998
0.10877766,-0.30320998
0.10839269,-0.30320998
0.10800772,-0.30320998
0.10762275,-0.30320998
0.10723778,-0.30320998
0.10685281,-0.30320998
0.10646785,-0.30320998
0.10608288,-0.30320998
