k,Re(c_k),Im(c_k)
-8.510000000000000000e+02,-3.068929173939812923e-07,-1.055064423670023049e-06
-8.500000000000000000e+02,7.059551458855245802e-07,-8.348366426482810847e-07
-8.490000000000000000e+02,7.147993684868175274e-07,-3.152072092078936112e-07
-8.480000000000000000e+02,3.294418571038600866e-08,4.177356545611866359e-08
-8.470000000000000000e+02,7.033384226421436614e-07,7.187861940040491391e-07
-8.460000000000000000e+02,9.612294983579636053e-07,-8.583653754352677662e-07
-8.450000000000000000e+02,1.085322928418893117e-06,4.084811759627355199e-09
-8.440000000000000000e+02,6.681836366794671186e-07,-1.975801646760344246e-07
-8.430000000000000000e+02,-1.878441445046001491e-07,-1.097003850241547571e-06
-8.420000000000000000e+02,3.872900988589286322e-07,-1.532139749034781075e-07
-8.410000000000000000e+02,9.648219794318596012e-07,-2.767342727773650720e-07
-8.400000000000000000e+02,9.194479674587141617e-07,-1.527134469020531393e-07
-8.390000000000000000e+02,2.013873491126148595e-06,4.058662684004901300e-08
-8.380000000000000000e+02,5.373298179617864092e-07,7.503215978466447225e-07
-8.370000000000000000e+02,-8.385149034139204971e-07,-4.140227818448274065e-07
-8.360000000000000000e+02,5.531411707160180179e-07,-8.571716100337313490e-07
-8.350000000000000000e+02,3.723886305505083859e-07,7.735289766797574496e-07
-8.340000000000000000e+02,1.328855766394266040e-06,5.924643058310539339e-08
-8.330000000000000000e+02,1.052160933755709576e-06,6.277975249538953269e-07
-8.320000000000000000e+02,4.737799794811527524e-07,-6.959913136392226505e-07
-8.310000000000000000e+02,1.828912352988183674e-06,-1.830276087752400992e-06
-8.300000000000000000e+02,-8.900158425415238627e-08,6.616630340494467175e-07
-8.290000000000000000e+02,-7.181455431289155431e-07,-5.530547076762973307e-07
-8.280000000000000000e+02,1.077401783641628578e-07,-1.079439406448420935e-06
-8.270000000000000000e+02,1.115408620977502150e-06,2.828331780130089828e-07
-8.260000000000000000e+02,2.099444159656114643e-06,-6.133920952794375903e-09
-8.250000000000000000e+02,6.888731569779773725e-07,3.173810634356359717e-07
-8.240000000000000000e+02,7.381657403747551199e-07,1.124145545306992166e-07
-8.230000000000000000e+02,1.519118023111656136e-07,-3.212022891610994554e-07
-8.220000000000000000e+02,6.157817271788963134e-08,-2.185866462017437234e-09
-8.210000000000000000e+02,1.108949733559014824e-06,6.886944419948303739e-08
-8.200000000000000000e+02,9.335387330381955114e-07,-3.738166439669626947e-08
-8.190000000000000000e+02,1.231402724792059566e-06,-4.788419268794050809e-08
-8.180000000000000000e+02,2.074321874104953447e-07,-7.019406290703248075e-07
-8.170000000000000000e+02,5.569772213413883504e-07,-6.433640550203484883e-07
-8.160000000000000000e+02,3.655218906923890108e-07,1.286737430011514077e-07
-8.150000000000000000e+02,-4.091218348171320844e-07,2.644715693991609535e-07
-8.140000000000000000e+02,8.338671845137421493e-07,-1.616221966597012473e-07
-8.130000000000000000e+02,1.001464617647636668e-06,-1.659047081562808205e-06
-8.120000000000000000e+02,2.587986074559005880e-06,-2.925039428052329942e-07
-8.110000000000000000e+02,8.186504546472173928e-07,7.790153779228346228e-07
-8.100000000000000000e+02,-1.341791688465583023e-06,-8.246709260331510790e-07
-8.090000000000000000e+02,9.470007094094492952e-07,3.705752192421996430e-07
-8.080000000000000000e+02,3.303819113859128378e-07,3.980340331693874682e-07
-8.070000000000000000e+02,9.924110506626178616e-07,3.383686700718708230e-07
-8.060000000000000000e+02,1.663991761117665312e-06,5.277372214389719301e-07
-8.050000000000000000e+02,5.010330435636051958e-07,-1.259074591659052820e-06
-8.040000000000000000e+02,1.368513682496406179e-06,-4.993949013353922950e-07
-8.030000000000000000e+02,2.553058986942467561e-07,6.632324071392015931e-08
-8.020000000000000000e+02,-5.083597219834305314e-07,-1.587340270013886468e-07
-8.010000000000000000e+02,4.357674565811414967e-07,-3.348732072219601863e-07
-8.000000000000000000e+02,5.468013879680761274e-07,-4.777034285672588551e-07
-7.990000000000000000e+02,9.225823014620360668e-07,-8.804531006647434050e-07
-7.980000000000000000e+02,1.511285943762140529e-06,-1.129670080779472173e-06
-7.970000000000000000e+02,8.600698229647286394e-07,1.221462852780461666e-06
-7.960000000000000000e+02,-2.476907927710403581e-07,4.322417557162542613e-07
-7.950000000000000000e+02,3.147806345316865918e-07,-2.170721160644618249e-07
-7.940000000000000000e+02,1.546406800898337972e-06,5.319520494528438944e-07
-7.930000000000000000e+02,1.806445927789472639e-06,-7.036530026004054495e-07
-7.920000000000000000e+02,4.516901463443458826e-07,3.085768787726288106e-07
-7.910000000000000000e+02,2.750367319652891824e-07,-1.195055154449715579e-06
-7.900000000000000000e+02,8.348109434035557469e-07,-9.807740002575951252e-07
-7.890000000000000000e+02,8.125845893074547070e-08,1.564408662302192220e-06
-7.880000000000000000e+02,3.054438955778579021e-07,2.361799659351095706e-07
-7.870000000000000000e+02,-7.001508985527136227e-08,-9.983500988370494738e-08
-7.860000000000000000e+02,1.076436824010922638e-06,-1.551982266514935011e-06
-7.850000000000000000e+02,2.120366645788150691e-06,-1.236960077523373712e-06
-7.840000000000000000e+02,1.312594778722810745e-07,1.762728027114929876e-07
-7.830000000000000000e+02,3.690354662113913575e-07,-6.940631775246051900e-07
-7.820000000000000000e+02,5.837558702930967274e-07,9.469270104664668966e-07
-7.810000000000000000e+02,2.553788843368592619e-07,4.939748589775874214e-07
-7.800000000000000000e+02,1.110744374407819726e-06,-4.763074517873069861e-07
-7.790000000000000000e+02,1.625801770018240671e-06,2.377768922047787954e-07
-7.780000000000000000e+02,8.256581191588184681e-07,-4.769273652762232610e-07
-7.770000000000000000e+02,6.374137141888337277e-08,-3.022738411501297372e-07
-7.760000000000000000e+02,1.404149455392239959e-06,2.227673631324218409e-08
-7.750000000000000000e+02,5.096517392691541648e-07,2.369011225385933680e-07
-7.740000000000000000e+02,5.040859170665746935e-07,5.340678926700085606e-07
-7.730000000000000000e+02,4.604787882422001795e-07,-5.979792387036382106e-07
-7.720000000000000000e+02,-8.282758746985062668e-07,-2.351281371141956494e-06
-7.710000000000000000e+02,2.044419144352939416e-06,-1.126741060666833911e-06
-7.700000000000000000e+02,5.069439921465372165e-07,1.007131338511410570e-06
-7.690000000000000000e+02,-7.627364096169167101e-07,5.074974236868012936e-07
-7.680000000000000000e+02,1.720432127492198822e-06,4.175338330719283850e-07
-7.670000000000000000e+02,1.123441883320034572e-06,2.878064985254972119e-08
-7.660000000000000000e+02,1.810661763904282824e-06,-2.476572388961704619e-07
-7.650000000000000000e+02,6.453435396404145661e-07,-4.280656755211398551e-07
-7.640000000000000000e+02,2.375195270963962174e-07,-1.223982532256730609e-06
-7.630000000000000000e+02,1.167524525625810988e-06,-4.516799339045471201e-08
-7.620000000000000000e+02,1.521614385413193633e-07,7.580505085635297806e-07
-7.610000000000000000e+02,1.199423807406730367e-06,6.455139961916428499e-07
-7.600000000000000000e+02,2.071430936124495388e-07,7.407052847998062668e-08
-7.590000000000000000e+02,8.722616630900019630e-08,-7.253305005752424790e-07
-7.580000000000000000e+02,7.753444440365086886e-07,-1.446192825027700028e-06
-7.570000000000000000e+02,5.412275745713193528e-08,-1.232586701266070623e-06
-7.560000000000000000e+02,1.566526426885089388e-06,5.713876021915919372e-07
-7.550000000000000000e+02,6.970000234916738649e-07,5.215859248380916526e-07
-7.540000000000000000e+02,-8.124908003673996228e-08,1.926960175966262143e-07
-7.530000000000000000e+02,1.616100010425233736e-06,-9.313246348794983229e-07
-7.520000000000000000e+02,1.438890629890730207e-06,-6.285080481995842237e-07
-7.510000000000000000e+02,-1.588015427999759800e-07,1.069338711610980536e-06
-7.500000000000000000e+02,2.410409485035485844e-07,-1.096755725243573257e-06
-7.490000000000000000e+02,1.818083896520076148e-06,2.012761231197145328e-07
-7.480000000000000000e+02,1.536731635825532841e-06,1.155203136051411421e-06
-7.470000000000000000e+02,1.459140492967023700e-06,-8.143039183011388515e-08
-7.460000000000000000e+02,-7.163142957852843538e-08,1.854945398087029623e-07
-7.450000000000000000e+02,-8.129379279109653231e-07,-2.530199177020599223e-06
-7.440000000000000000e+02,8.911148660511228450e-07,-9.862239390777598425e-07
-7.430000000000000000e+02,-1.478757277833057178e-07,5.066711773807270208e-07
-7.420000000000000000e+02,2.020879096913379322e-07,-3.182764217401923431e-07
-7.410000000000000000e+02,1.788973310025514857e-06,1.261784783946432157e-06
-7.400000000000000000e+02,9.198259628598163835e-07,-2.949560255789040017e-07
-7.390000000000000000e+02,7.697548683770592549e-07,-4.981498446490113750e-07
-7.380000000000000000e+02,1.441184566790226244e-06,-5.443594839991091526e-07
-7.370000000000000000e+02,5.359179820162039876e-07,-6.273463519877249221e-07
-7.360000000000000000e+02,2.929939701400436960e-07,6.112098299357623420e-07
-7.350000000000000000e+02,1.803831005246148746e-06,-7.481174980214937072e-07
-7.340000000000000000e+02,1.525137546784433456e-06,2.244669300890337822e-07
-7.330000000000000000e+02,1.115939927334476660e-06,8.956922056489424872e-07
-7.320000000000000000e+02,-4.843032270169295634e-07,-3.225762666075006869e-07
-7.310000000000000000e+02,-1.317044290364990935e-06,-1.131605557293008214e-06
-7.300000000000000000e+02,1.243157845649846735e-06,-1.010371648321653731e-06
-7.290000000000000000e+02,1.015138378055597882e-06,6.487997736121673968e-07
-7.280000000000000000e+02,9.605694588351127823e-07,3.425424057200725398e-07
-7.270000000000000000e+02,8.050738265646692772e-07,-4.575163542874089653e-07
-7.260000000000000000e+02,8.893219705812094159e-07,-1.278101674040247221e-06
-7.250000000000000000e+02,1.404343359368180337e-06,-3.374068306019828651e-07
-7.240000000000000000e+02,-1.223981996329029915e-06,6.762966323544810114e-07
-7.230000000000000000e+02,9.059680926808075681e-07,-8.881758684967415680e-07
-7.220000000000000000e+02,1.926034014762673758e-06,5.430777584411190192e-07
-7.210000000000000000e+02,1.286321073247206534e-06,6.327681890652437874e-07
-7.200000000000000000e+02,3.098807636831948184e-06,-6.259897197586822183e-07
-7.190000000000000000e+02,9.644605661674653324e-08,3.814688114736228288e-07
-7.180000000000000000e+02,-3.642616768716497883e-07,-5.488154557570409813e-07
-7.170000000000000000e+02,-1.921292347896178657e-07,-1.150913565692735138e-06
-7.160000000000000000e+02,-7.098591186027330894e-07,-3.549290058991924483e-07
-7.150000000000000000e+02,1.826503514632903063e-06,-1.621880929649228993e-07
-7.140000000000000000e+02,9.556952305871656441e-07,3.567947232525188791e-07
-7.130000000000000000e+02,6.381159427927824947e-08,3.378356738332450377e-07
-7.120000000000000000e+02,5.728855303811231905e-07,-1.352177856077867402e-06
-7.110000000000000000e+02,1.337673525774140166e-06,-2.187545333116450760e-07
-7.100000000000000000e+02,5.540891542935263064e-07,1.366510699223086369e-06
-7.090000000000000000e+02,1.145183940826483332e-07,-7.624401510428481759e-07
-7.080000000000000000e+02,2.641167964037496089e-06,-9.615293254523333762e-07
-7.070000000000000000e+02,2.169273660737540264e-06,-6.429948889286247844e-07
-7.060000000000000000e+02,1.530207136971613947e-06,2.607889738644583487e-07
-7.050000000000000000e+02,-3.091320390971629384e-07,5.086112847099757622e-07
-7.040000000000000000e+02,-1.475361391323886884e-06,-9.006899680776989049e-07
-7.030000000000000000e+02,1.009323500534888526e-06,7.151238284499260905e-07
-7.020000000000000000e+02,4.838111819526462413e-07,-2.183757314448662035e-07
-7.010000000000000000e+02,1.224125710190130673e-06,-2.555572835698641636e-07
-7.000000000000000000e+02,1.660784486696047730e-06,1.683734313912943047e-10
-6.990000000000000000e+02,1.631939009922748315e-07,-1.784401482754892167e-06
-6.980000000000000000e+02,2.775932988265590346e-07,5.029300769067510220e-07
-6.970000000000000000e+02,-1.809285522396133995e-07,-4.577031833100649678e-07
-6.960000000000000000e+02,8.154190566668812639e-07,-1.645945138461451304e-07
-6.950000000000000000e+02,1.163356352235220425e-06,1.305780934880394965e-06
-6.940000000000000000e+02,1.266615258998658568e-06,-1.711457087476539381e-06
-6.930000000000000000e+02,2.929571372491669374e-06,-8.459981436869756614e-07
-6.920000000000000000e+02,1.914972602042501801e-06,7.655748435988451312e-07
-6.910000000000000000e+02,-4.410761942781721190e-07,7.480220938720164680e-07
-6.900000000000000000e+02,-4.587969047257021988e-07,-4.712386166860400803e-07
-6.890000000000000000e+02,6.739223336429882504e-07,-8.276388242649520520e-07
-6.880000000000000000e+02,1.263636350938903622e-06,-5.856197298297969338e-08
-6.870000000000000000e+02,1.048404805373928575e-06,-7.310324675798609722e-07
-6.860000000000000000e+02,-7.992263520349771592e-07,1.527945403706062810e-07
-6.850000000000000000e+02,2.990377321842035020e-07,-1.191549652300588760e-06
-6.840000000000000000e+02,1.238202990303470203e-06,4.752019735614744011e-07
-6.830000000000000000e+02,-5.466918808070076469e-07,2.319015164430389831e-06
-6.820000000000000000e+02,1.626197569211711610e-06,-1.438034614295906753e-06
-6.810000000000000000e+02,1.896088962233420602e-06,-6.640753297196742360e-07
-6.800000000000000000e+02,1.806340046302136621e-06,-1.112094528345870408e-06
-6.790000000000000000e+02,2.323393188196643700e-06,-1.743180957329639759e-06
-6.780000000000000000e+02,-1.898031170860943841e-08,7.320887214131985590e-07
-6.770000000000000000e+02,5.664424052564144202e-07,6.202392898786866898e-07
-6.760000000000000000e+02,-3.627900538477668634e-07,8.317679620066329644e-07
-6.750000000000000000e+02,2.164116083525765378e-07,-5.012487288112078045e-07
-6.740000000000000000e+02,2.317649334002836366e-06,-7.745491847783208556e-07
-6.730000000000000000e+02,6.698078106010144351e-07,1.468064029109231075e-07
-6.720000000000000000e+02,1.081105976236628168e-07,-6.232118825621667982e-07
-6.710000000000000000e+02,-3.349188627454592826e-07,-2.646305623018648425e-07
-6.700000000000000000e+02,1.116859950732676763e-06,-1.067291410840145619e-07
-6.690000000000000000e+02,9.985833548530786741e-07,8.271243419933496121e-07
-6.680000000000000000e+02,-2.009161314938992166e-07,4.375308311755257386e-07
-6.670000000000000000e+02,1.270690423566877704e-06,-2.404735608762323328e-06
-6.660000000000000000e+02,1.692109415341690786e-06,-1.835030333274632677e-06
-6.650000000000000000e+02,2.607559265761687355e-06,1.238918976212969835e-06
-6.640000000000000000e+02,2.671197857662821597e-07,6.909859271006843886e-07
-6.630000000000000000e+02,4.281365180148161839e-07,4.730372817880815613e-08
-6.620000000000000000e+02,2.290742237896490088e-06,6.960968787682257400e-07
-6.610000000000000000e+02,-2.458917991827643532e-09,-1.717876968744534748e-06
-6.600000000000000000e+02,1.284484862509132108e-06,-8.866570191497337853e-07
-6.590000000000000000e+02,-1.596363683825017874e-07,-2.559131959170843348e-07
-6.580000000000000000e+02,-7.889534387933622510e-07,-9.600066690507585208e-07
-6.570000000000000000e+02,9.055698015759335885e-07,1.938050435215973082e-06
